Meaning,Word,Tag
w_bring,rounkem,v
w_buy,nien,v
w_come,siajjuabiol,v
w_do,riuj,v
w_drink,geilmoun,v
w_eat,eajnoikej,v
w_get,haoltirkaon,v
w_give,mabiurgio,v
w_go,haollierdua,v
w_hear,saer,v
w_know,maoboij,v
w_like,sotean,v
w_listen,jeullaembeun,v
w_put,fiejmanliel,v
w_say,soimaij,v
w_see,giarno,v
w_take,foil,v
w_think,giurraoj,v
w_use,deunfeij,v
w_write,relmeifel,v
w_read,paimjarkio,v
w_because,nialheaj,m
w_but,toulgum,m
w_and,ruanfeugiar,m
w_today,beintuar,n
w_tomorrow,nai,n
w_yesterday,rion,n
w_here,gua,n
w_there,nirielgir,n
w_thing,nelmua,n
w_person,jian,n
w_place,duij,n
w_this,gur,a
w_that,siultion,a
w_book,doilangae,n
w_bread,lionjeimbol,n
w_music,suimjeil,n
w_milk,puamsoijbil,n
w_other,reu,a
n_pl,hoij
n_nom,
n_acc,jem
n_dat,rien
n_gen,bar
n_inst,ream
n_loc,teun
n_dim,kaim
n_aug,dia
v_agr_1s,niun
v_agr_2s,kar
v_agr_3s,goim
v_agr_1p,peur
v_agr_2p,rael
v_agr_3p,bei
v_agr_4,roil
v_tense_past,giun
v_tense_present,sul
v_tense_future,nuaj
v_aspect_start,min
v_aspect_repeat,bio
v_aspect_habit,fiem
v_aspect_continuous,sou
v_aspect_complete,kual
v_aspect_experience,hior
v_mood_indicative,fam
v_mood_subjunctive,sir
v_mood_imperative,niej
v_mood_ability,lor
v_mood_desire,boi
v_mood_evidential,taon
v_mood_necessity,giom
v_mood_obligation,biu
v_mood_jussive,kuin
v_mood_interogative,tiuj
v_mood_optative,mu
v_att_malicious_intent,her
v_att_riddance,naej
v_att_disgust,tur
v_att_selfbenefit,famken
v_att_otherbenefit,jim
v_att_unexpected,lail
v_att_expected,pu
v_att_evidential,hier
v_att_certain,ka
v_att_uncertain,feuj
v_val_pass,kion
v_val_caus,hoir
v_neg,guim
a_comp,jaoj
a_sup,boul
a_dim,gea
a_aug,fion
n_to_v,naoj
n_to_a,luin
v_to_n,nir
v_to_a,deal
a_to_n,rian
a_to_v,hur
v_reported_speech,miem
prep_time_at,pain
prep_time_before,hol
prep_time_after,ar
prep_time_ago,juj
prep_time_future,piam
prep_time_duration,gain
prep_time_from,hiel
prep_time_until,fuin
prep_time_since,leal
prep_space_static_surface,dan
prep_space_static_content,riom
prep_space_static_left,hel
prep_space_static_right,lea
prep_space_static_above,gurtiu
prep_space_static_below,fum
prep_space_static_front,jor
prep_space_static_behind,gej
prep_space_static_beside,bie
prep_space_static_opposite,om
prep_space_static_between,taol
prep_fig_media,naejour
prep_fig_source,mae
prep_accomp_person,aor
prep_accomp_tool,keum
prep_quant_more,hao
prep_quant_approx,nuj
prep_quant_less,jen
prep_dynamic_crossing,mir
prep_dynamic_origin,helrie
prep_dynamic_destination,meuj
prep_fig_topic,biom
prep_fig_purpose,leun
prep_fig_identity,piem
